country_20230124,ISO,region,subregion,Income.Group.,retractions,citabledocuments_1996_2021,mean_democracy_2008_2021,ongoing_nonviolent_campaign,GDP_pc_mean_1960_2022,HDI_mean_1990_2021,industry_share_mean_1960_2022,length_of_last_leader_tenure_2015,muslim_proportion,top_universities_shanghai_2022,plurality
Nepal,NPL,Asia,Southern Asia,Lower middle ,27,21322,4.702307692,0,330.9189261,0.50725,14.05086652,1,3,0,0
Netherlands,NLD,Europe,Western Europe,High ,365,1067013,8.97,0,24688.12854,0.90353125,24.58927342,6,1,13,0
New Caledonia,NCL,Oceania,Melanesia,NA,0,3144,NA,0,17626.96596,NA,22.75408586,NA,4,0,NA
New Zealand,NZL,Oceania,Australia and New Zealand,High ,69,265890,9.262307692,0,17627.60767,0.896125,27.13890719,8,0,8,0
Nicaragua,NIC,Americas,Latin America and the Caribbean,Lower middle ,0,2077,4.761538462,1,915.2245602,0.58825,22.54419809,9,0,0,0
Niger,NER,Africa,Sub-Saharan Africa,Low ,2,2736,3.777692308,0,306.8337671,0.30678125,16.48954121,5,87.9,0,0
Nigeria,NGA,Africa,Sub-Saharan Africa,Lower middle ,69,127434,3.976153846,0,1008.131714,0.499947368,29.68078561,1,45,1,1
Niue,NIU,Oceania,Polynesia,NA,0,23,NA,0,NA,NA,NA,NA,NA,0,NA
Norfolk Island,NFK,Oceania,Australia and New Zealand,NA,0,19,NA,0,NA,NA,NA,NA,NA,0,NA
North Korea,PRK,Asia,Eastern Asia,NA,2,1530,1.063076923,0,NA,NA,NA,5,0,0,1
Northern Mariana Islands,MNP,Oceania,Micronesia,NA,0,112,NA,0,17787.31394,NA,NA,NA,NA,0,NA
Norway,NOR,Europe,Northern Europe,High ,88,359077,9.853846154,0,37702.64901,0.9188125,32.21779053,3,0.1,7,0
Oman,OMN,Asia,Western Asia,NA,28,26003,3.076153846,0,9412.018401,0.783545455,55.61695174,46,98.9,1,0
Pakistan,PAK,Asia,Southern Asia,Lower middle ,407,232874,4.418461538,0,545.2335858,0.4778125,19.96897632,3,96.8,7,1
Palau,PLW,Oceania,Micronesia,NA,0,294,NA,0,11563.87292,0.768454545,11.17690371,NA,NA,0,NA
Palestine,PSE,Asia,Western Asia,NA,4,10322,4.625384615,0,2322.95707,0.695277778,20.73071059,NA,NA,0,NA
Panama,PAN,Americas,Latin America and the Caribbean,Upper middle ,3,9059,7.103846154,0,4912.1084,0.7481875,23.20748535,2,4.5,0,0
Papua New Guinea,PNG,Oceania,Melanesia,NA,1,3609,6.189230769,0,1056.408328,0.4759375,29.33134657,5,0,0,1
Paraguay,PRY,Americas,Latin America and the Caribbean,Upper middle ,1,3459,6.262307692,0,2381.303041,0.66996875,29.26802703,NA,0,0,0
Peru,PER,Americas,Latin America and the Caribbean,Upper middle ,25,39588,6.491538462,0,2422.589764,0.70071875,31.1439146,5,0,0,0
Philippines,PHL,Asia,South-eastern Asia,Lower middle ,42,47327,6.527692308,0,1213.712732,0.65746875,35.4286455,6,4.3,0,0
Pitcairn,PCN,Oceania,Polynesia,NA,0,1,NA,0,NA,NA,NA,NA,NA,0,NA
Poland,POL,Europe,Eastern Europe,High ,142,795462,6.977692308,1,9173.204803,0.8119375,29.46669888,6,0,11,0
Portugal,PRT,Europe,Southern Europe,High ,96,370547,7.870769231,0,10125.66967,0.80621875,21.33679946,10,0,6,0
Puerto Rico,PRI,Americas,Latin America and the Caribbean,NA,2,18870,NA,0,13033.67668,NA,41.92236958,NA,0,0,NA
Qatar,QAT,Asia,Western Asia,NA,24,39137,3.196153846,0,36211.09934,0.8161875,62.5860292,3,92.4,1,NA
Réunion Island,REU,Africa,Sub-Saharan Africa,NA,3,890,NA,0,NA,NA,NA,NA,2.2,0,NA
